年,月,日,命数1,命数2,命数3
2000,1,1,58,56,60
2000,2,1,27,21,21
2000,3,1,51,57,60
2000,4,1,22,27,21
2000,5,1,52,52,51
2000,6,1,29,27,25
2000,7,1,59,58,51
2000,8,1,30,29,25
2000,9,1,57,59,57
2000,10,1,27,30,27
2000,11,1,58,58,52
2000,12,1,28,22,26
2000,1,2,57,55,51
2000,2,2,26,30,25
2000,3,2,52,58,51
2000,4,2,29,26,25
2000,5,2,59,59,51
2000,6,2,30,28,25
2000,7,2,60,57,51
2000,8,2,27,28,27
2000,9,2,58,60,52
2000,10,2,28,29,26
2000,11,2,5,5,10
2000,12,2,35,39,34
2000,1,3,56,54,51
2000,2,3,25,29,25
2000,3,3,59,55,51
2000,4,3,30,25,25
2000,5,3,60,60,51
2000,6,3,27,25,27
2000,7,3,57,56,57
2000,8,3,28,27,26
2000,9,3,5,7,10
2000,10,3,35,38,34
2000,11,3,6,6,5
2000,12,3,36,40,35
2000,1,4,55,53,51
2000,2,4,24,27,24
2000,3,4,60,56,51
2000,4,4,24,24,23
2000,5,4,57,57,58
2000,6,4,28,26,26
2000,7,4,58,55,52
2000,8,4,35,36,34
2000,9,4,6,8,5
2000,10,4,36,37,35
2000,11,4,3,3,9
2000,12,4,33,37,35
2000,1,5,54,52,57
2000,2,5,23,28,28
2000,3,5,54,53,60
2000,4,5,23,23,28
2000,5,5,53,58,58
2000,6,5,32,33,33
2000,7,5,5,4,10
2000,8,5,36,35,35
2000,9,5,3,5,9
2000,10,5,33,36,35
2000,11,5,4,4,9
2000,12,5,34,38,35
2000,1,6,54,51,58
2000,2,6,32,35,33
2000,3,6,53,54,58
2000,4,6,32,32,33
2000,5,6,2,5,9
2000,6,6,31,34,33
2000,7,6,1,4,9
2000,8,6,33,34,35
2000,9,6,4,6,9
2000,10,6,34,35,35
2000,11,6,1,1,2
2000,12,6,31,35,31
2000,1,7,1,10,9
2000,2,7,31,36,33
2000,3,7,2,1,9
2000,4,7,31,31,33
2000,5,7,1,6,9
2000,6,7,40,31,33
2000,7,7,10,2,3
2000,8,7,39,34,36
2000,9,7,8,3,8
2000,10,7,31,34,31
2000,11,7,7,2,2
2000,12,7,37,36,32
2000,1,8,2,9,9
2000,2,8,40,33,33
2000,3,8,1,2,9
2000,4,8,40,40,33
2000,5,8,10,3,3
2000,6,8,39,32,36
2000,7,8,9,1,10
2000,8,8,38,31,34
2000,9,8,7,4,2
2000,10,8,37,33,32
2000,11,8,6,9,7
2000,12,8,36,33,33
2000,1,9,9,8,3
2000,2,9,39,34,36
2000,3,9,10,9,3
2000,4,9,39,39,36
2000,5,9,9,4,10
2000,6,9,38,39,34
2000,7,9,8,10,8
2000,8,9,37,32,32
2000,9,9,6,1,7
2000,10,9,36,32,33
2000,11,9,5,10,7
2000,12,9,35,34,33
2000,1,10,10,7,10
2000,2,10,38,31,34
2000,3,10,9,10,10
2000,4,10,38,38,34
2000,5,10,8,1,8
2000,6,10,37,40,32
2000,7,10,7,9,2
2000,8,10,36,39,33
2000,9,10,5,2,7
2000,10,10,35,31,33
2000,11,10,4,7,7
2000,12,10,34,31,37
2000,1,11,7,6,8
2000,2,11,37,32,32
2000,3,11,8,7,8
2000,4,11,37,37,32
2000,5,11,7,2,2
2000,6,11,36,37,33
2000,7,11,6,8,7
2000,8,11,35,40,33
2000,9,11,4,9,7
2000,10,11,34,40,37
2000,11,11,3,8,10
2000,12,11,33,32,34
2000,1,12,8,5,2
2000,2,12,36,37,33
2000,3,12,7,8,2
2000,4,12,36,36,33
2000,5,12,6,9,7
2000,6,12,35,38,33
2000,7,12,5,7,7
2000,8,12,34,37,37
2000,9,12,3,10,10
2000,10,12,33,39,34
2000,11,12,12,15,18
2000,12,12,42,49,42
2000,1,13,5,4,7
2000,2,13,35,38,33
2000,3,13,6,5,7
2000,4,13,35,35,33
2000,5,13,5,2,7
2000,6,13,34,35,35
2000,7,13,4,6,7
2000,8,13,33,38,34
2000,9,13,12,17,18
2000,10,13,42,48,42
2000,11,13,11,16,16
2000,12,13,41,50,46
2000,1,14,6,3,7
2000,2,14,32,35,35
2000,3,14,5,6,7
2000,4,14,32,32,35
2000,5,14,4,9,1
2000,6,14,33,36,34
2000,7,14,3,5,10
2000,8,14,42,45,42
2000,9,14,11,18,16
2000,10,14,41,47,46
2000,11,14,20,13,17
2000,12,14,50,47,41
