年,月,日,第一の命数,第二の命数,第三の命数
2010,1,1,49,43,44
2010,2,1,18,18,16
2010,3,1,45,45,49
2010,4,1,16,15,18
2010,5,1,46,50,44
2010,6,1,13,15,16
2010,7,1,43,46,42
2010,8,1,14,17,17
2010,9,1,51,57,51
2010,10,1,21,28,27
2010,11,1,52,56,51
2010,12,1,22,30,27
2010,1,2,48,42,42
2010,2,2,17,17,18
2010,3,2,46,46,44
2010,4,2,13,14,16
2010,5,2,43,47,42
2010,6,2,14,16,17
2010,7,2,44,45,47
2010,8,2,21,26,27
2010,9,2,52,58,51
2010,10,2,22,27,27
2010,11,2,59,53,53
2010,12,2,29,27,23
2010,1,3,47,41,47
2010,2,3,26,26,27
2010,3,3,43,43,42
2010,4,3,14,13,17
2010,5,3,44,48,47
2010,6,3,21,23,27
2010,7,3,51,54,51
2010,8,3,22,25,27
2010,9,3,59,55,53
2010,10,3,29,26,23
2010,11,3,60,54,52
2010,12,3,30,28,28
2010,1,4,56,60,51
2010,2,4,26,26,28
2010,3,4,44,44,47
2010,4,4,21,22,27
2010,5,4,51,55,51
2010,6,4,22,24,27
2010,7,4,52,53,51
2010,8,4,29,24,23
2010,9,4,60,56,52
2010,10,4,30,25,28
2010,11,4,57,51,60
2010,12,4,27,25,26
2010,1,5,59,59,52
2010,2,5,23,23,26
2010,3,5,55,55,56
2010,4,5,26,21,28
2010,5,5,56,56,52
2010,6,5,29,21,23
2010,7,5,59,52,53
2010,8,5,30,23,28
2010,9,5,57,53,60
2010,10,5,27,24,26
2010,11,5,58,52,51
2010,12,5,28,26,21
2010,1,6,58,58,60
2010,2,6,24,24,23
2010,3,6,56,52,52
2010,4,6,23,30,26
2010,5,6,53,53,60
2010,6,6,24,22,24
2010,7,6,60,51,52
2010,8,6,27,22,26
2010,9,6,58,54,51
2010,10,6,28,23,21
2010,11,6,55,59,51
2010,12,6,25,23,25
2010,1,7,57,57,54
2010,2,7,21,21,25
2010,3,7,53,59,60
2010,4,7,24,29,24
2010,5,7,54,54,53
2010,6,7,21,29,25
2010,7,7,51,60,59
2010,8,7,22,22,25
2010,9,7,55,51,51
2010,10,7,25,22,25
2010,11,7,60,60,52
2010,12,7,30,24,26
2010,1,8,56,56,59
2010,2,8,22,22,25
2010,3,8,54,60,54
2010,4,8,21,28,25
2010,5,8,51,51,59
2010,6,8,22,30,25
2010,7,8,52,59,59
2010,8,8,29,29,30
2010,9,8,60,52,52
2010,10,8,30,21,26
2010,11,8,57,57,60
2010,12,8,27,21,24
2010,1,9,55,55,59
2010,2,9,29,29,30
2010,3,9,51,57,59
2010,4,9,22,27,25
2010,5,9,52,52,59
2010,6,9,29,27,29
2010,7,9,59,58,59
2010,8,9,30,30,26
2010,9,9,57,59,60
2010,10,9,27,30,24
2010,11,9,58,58,57
2010,12,9,28,22,28
2010,1,10,54,54,59
2010,2,10,30,30,26
2010,3,10,52,58,59
2010,4,10,29,26,29
2010,5,10,59,59,60
2010,6,10,30,28,26
2010,7,10,60,57,52
2010,8,10,27,27,24
2010,9,10,58,60,58
2010,10,10,28,29,28
2010,11,10,5,5,9
2010,12,10,35,39,33
2010,1,11,53,53,52
2010,2,11,27,27,24
2010,3,11,59,55,59
2010,4,11,30,25,26
2010,5,11,60,60,52
2010,6,11,27,25,24
2010,7,11,57,56,60
2010,8,11,28,28,27
2010,9,11,5,7,9
2010,10,11,35,38,33
2010,11,11,6,6,9
2010,12,11,36,40,33
2010,1,12,52,52,60
2010,2,12,26,26,30
2010,3,12,60,56,52
2010,4,12,27,24,24
2010,5,12,57,57,60
2010,6,12,28,26,28
2010,7,12,58,55,58
2010,8,12,35,35,33
2010,9,12,6,8,9
2010,10,12,36,37,33
2010,11,12,3,3,4
2010,12,12,33,37,33
2010,1,13,51,51,54
2010,2,13,33,33,34
2010,3,13,57,53,60
2010,4,13,26,23,30
2010,5,13,56,60,54
2010,6,13,35,33,33
2010,7,13,5,4,9
2010,8,13,36,36,33
2010,9,13,3,5,3
2010,10,13,33,36,33
2010,11,13,4,4,10
2010,12,13,34,38,36
2010,1,14,10,10,9
2010,2,14,34,34,31
2010,3,14,56,54,54
2010,4,14,33,32,33
2010,5,14,3,7,9
2010,6,14,34,34,33
2010,7,14,6,3,9
2010,8,14,33,33,34
2010,9,14,4,6,10
2010,10,14,34,35,36
2010,11,14,1,1,8
2010,12,14,31,35,34
2010,1,15,7,7,8
2010,2,15,31,31,37
2010,3,15,3,1,9
2010,4,15,34,39,31
2010,5,15,4,8,7
2010,6,15,31,31,37
2010,7,15,1,2,1
2010,8,15,32,38,36
2010,9,15,1,3,8
2010,10,15,31,34,34
2010,11,15,10,8,4
2010,12,15,40,36,38
2010,1,16,6,6,1
2010,2,16,32,32,35
2010,3,16,4,2,7
2010,4,16,31,38,37
2010,5,16,1,5,1
2010,6,16,32,32,36
2010,7,16,2,1,10
2010,8,16,39,35,34
2010,9,16,10,4,4
2010,10,16,40,33,38
2010,11,16,7,5,7
2010,12,16,37,33,33
2010,1,17,5,5,9
2010,2,17,39,39,31
2010,3,17,1,10,1
2010,4,17,32,37,35
2010,5,17,2,6,9
2010,6,17,39,32,40
2010,7,17,9,8,6
2010,8,17,40,36,38
2010,9,17,7,1,7
2010,10,17,37,32,33
2010,11,17,8,6,5
2010,12,17,38,34,31
2010,1,18,2,2,1
2010,2,18,40,40,38
2010,3,18,2,9,9
2010,4,18,39,31,31
2010,5,18,9,3,1
2010,6,18,40,31,38
2010,7,18,10,7,4
2010,8,18,37,33,34
2010,9,18,8,2,5
2010,10,18,38,37,31
2010,11,18,5,3,1
2010,12,18,35,32,35
2010,1,19,1,1,4
2010,2,19,35,35,34
2010,3,19,9,8,1
2010,4,19,40,32,38
2010,5,19,10,4,4
2010,6,19,37,40,34
2010,7,19,7,6,10
2010,8,19,38,34,31
2010,9,19,5,10,1
2010,10,19,35,36,35
2010,11,19,6,4,9
2010,12,19,36,31,33
2010,1,20,10,10,9
2010,2,20,36,36,39
2010,3,20,10,7,4
2010,4,20,35,39,34
2010,5,20,5,7,10
2010,6,20,38,39,39
2010,7,20,8,9,9
2010,8,20,35,31,35
2010,9,20,6,9,9
2010,10,20,36,35,33
2010,11,20,13,11,15
2010,12,20,43,50,45
2010,1,21,9,9,10
2010,2,21,33,33,34
2010,3,21,5,6,10
2010,4,21,36,40,39
2010,5,21,6,8,9
2010,6,21,33,38,33
2010,7,21,5,8,1
2010,8,21,36,32,33
2010,9,21,13,18,15
2010,10,21,43,45,45
2010,11,21,14,12,12
2010,12,21,44,49,48
2010,1,22,8,8,9
2010,2,22,34,34,33
2010,3,22,6,5,9
2010,4,22,33,37,33
2010,5,22,3,5,9
2010,6,22,34,37,33
2010,7,22,4,7,9
2010,8,22,41,47,45
2010,9,22,14,17,12
2010,10,22,44,46,48
2010,11,22,19,17,18
2010,12,22,49,48,44
2010,1,23,7,7,9
2010,2,23,41,41,45
2010,3,23,3,4,9
2010,4,23,34,38,33
2010,5,23,4,6,9
2010,6,23,41,46,45
2010,7,23,11,16,15
2010,8,23,42,48,44
2010,9,23,19,16,18
2010,10,23,49,43,44
2010,11,23,20,18,13
2010,12,23,50,47,43
2010,1,24,16,16,15
2010,2,24,42,42,44
2010,3,24,4,3,9
2010,4,24,41,45,45
2010,5,24,11,13,15
2010,6,24,42,45,44
2010,7,24,12,15,20
2010,8,24,49,45,44
2010,9,24,20,15,13
2010,10,24,50,44,43
2010,11,24,17,15,17
2010,12,24,47,46,43
2010,1,25,15,15,20
2010,2,25,49,49,42
2010,3,25,11,12,15
2010,4,25,42,46,44
2010,5,25,12,14,20
2010,6,25,49,44,44
2010,7,25,19,14,18
2010,8,25,50,46,43
2010,9,25,17,14,17
2010,10,25,47,41,43
2010,11,25,18,16,17
2010,12,25,48,45,43
2010,1,26,14,14,18
2010,2,26,50,50,43
2010,3,26,12,11,20
2010,4,26,49,43,42
2010,5,26,19,11,18
2010,6,26,50,43,43
2010,7,26,20,13,13
2010,8,26,47,43,43
2010,9,26,18,13,17
2010,10,26,48,42,43
2010,11,26,15,13,19
2010,12,26,45,44,49
2010,1,27,13,13,14
2010,2,27,47,47,43
2010,3,27,19,20,18
2010,4,27,50,44,43
2010,5,27,20,12,13
2010,6,27,47,50,43
2010,7,27,17,12,17
2010,8,27,48,44,43
2010,9,27,15,12,19
2010,10,27,45,49,49
2010,11,27,16,14,18
2010,12,27,46,43,44
2010,1,28,12,12,17
2010,2,28,48,48,43
2010,3,28,20,19,13
2010,4,28,47,41,43
2010,5,28,17,19,17
2010,6,28,48,49,43
2010,7,28,18,11,17
2010,8,28,45,41,49
2010,9,28,16,11,18
2010,10,28,46,50,44
2010,11,28,13,11,16
2010,12,28,43,42,42
2010,1,29,11,11,17
2010,3,29,17,18,17
2010,4,29,48,42,43
2010,5,29,18,20,17
2010,6,29,45,48,49
2010,7,29,15,20,19
2010,8,29,46,42,44
2010,9,29,13,20,16
2010,10,29,43,47,42
2010,11,29,14,12,17
2010,12,29,44,41,47
2010,1,30,20,20,19
2010,3,30,18,17,17
2010,4,30,45,49,49
2010,5,30,15,17,19
2010,6,30,46,47,44
2010,7,30,16,19,18
2010,8,30,43,49,42
2010,9,30,14,19,17
2010,10,30,44,48,47
2010,11,30,21,29,27
2010,12,30,51,60,51
2010,1,31,19,19,18
2010,3,31,15,16,19
2010,5,31,16,18,18
2010,7,31,13,18,16
2010,8,31,44,50,47
2010,10,31,51,55,51
2010,12,31,52,59,51
2011,1,1,59,58,53
2011,2,1,30,23,28
2011,3,1,51,52,51
2011,4,1,30,30,23
2011,5,1,60,53,53
2011,6,1,29,22,28
2011,7,1,59,51,52
2011,8,1,28,22,26
2011,9,1,57,54,51
2011,10,1,27,23,21
2011,11,1,56,59,51
2011,12,1,26,23,25
2011,1,2,60,57,52
2011,2,2,27,22,26
2011,3,2,60,59,53
2011,4,2,29,29,28
2011,5,2,59,54,52
2011,6,2,28,29,26
2011,7,2,58,60,60
2011,8,2,27,21,21
2011,9,2,56,51,51
2011,10,2,26,22,25
2011,11,2,55,60,51
2011,12,2,25,24,25
2011,1,3,57,56,60
2011,2,3,28,21,21
2011,3,3,59,60,52
2011,4,3,28,28,26
2011,5,3,58,51,60
2011,6,3,27,30,21
2011,7,3,57,59,51
2011,8,3,26,30,25
2011,9,3,55,52,51
2011,10,3,25,21,25
2011,11,3,54,57,57
2011,12,3,24,21,27
2011,1,4,58,55,51
2011,2,4,25,29,29
2011,3,4,58,57,60
2011,4,4,27,27,21
2011,5,4,57,52,51
2011,6,4,26,27,25
2011,7,4,56,58,51
2011,8,4,25,29,25
2011,9,4,54,59,57
2011,10,4,24,30,27
2011,11,4,53,58,52
2011,12,4,23,22,26
2011,1,5,55,54,51
2011,2,5,26,30,26
2011,3,5,58,52,59
2011,4,5,25,26,29
2011,5,5,56,59,51
2011,6,5,25,28,25
2011,7,5,55,57,51
2011,8,5,24,28,27
2011,9,5,53,60,52
2011,10,5,23,29,26
2011,11,5,2,5,10
2011,12,5,32,39,34
2011,1,6,60,53,52
2011,2,6,23,27,24
2011,3,6,55,55,59
2011,4,6,26,25,26
2011,5,6,56,60,52
2011,6,6,23,25,24
2011,7,6,54,56,57
2011,8,6,23,27,26
2011,9,6,2,7,10
2011,10,6,32,38,34
2011,11,6,1,6,5
2011,12,6,31,40,35
2011,1,7,57,52,60
2011,2,7,24,28,28
2011,3,7,56,56,52
2011,4,7,23,24,24
2011,5,7,53,57,60
2011,6,7,24,26,28
2011,7,7,54,55,58
2011,8,7,32,36,34
2011,9,7,1,8,5
2011,10,7,31,37,35
2011,11,7,10,3,9
2011,12,7,39,37,33
2011,1,8,58,51,58
2011,2,8,31,35,33
2011,3,8,53,53,60
2011,4,8,24,23,28
2011,5,8,54,58,58
2011,6,8,31,33,33
2011,7,8,1,4,9
2011,8,8,32,36,33
2011,9,8,9,5,3
2011,10,8,40,36,35
2011,11,8,10,4,10
2011,12,8,40,38,36
2011,1,9,5,10,9
2011,2,9,32,36,33
2011,3,9,54,54,58
2011,4,9,31,32,33
2011,5,9,1,5,9
2011,6,9,32,34,33
2011,7,9,2,3,9
2011,8,9,39,33,33
2011,9,9,10,6,10
2011,10,9,40,35,36
2011,11,9,7,1,8
2011,12,9,37,35,34
2011,1,10,6,9,9
2011,2,10,39,33,33
2011,3,10,1,1,9
2011,4,10,32,31,33
2011,5,10,2,6,9
2011,6,10,39,31,33
2011,7,10,9,2,3
2011,8,10,40,34,36
2011,9,10,7,3,8
2011,10,10,37,34,34
2011,11,10,8,2,2
2011,12,10,38,36,32
2011,1,11,3,8,3
2011,2,11,40,34,36
2011,3,11,2,2,9
2011,4,11,39,40,33
2011,5,11,9,3,3
2011,6,11,40,32,36
2011,7,11,10,1,10
2011,8,11,37,31,34
2011,9,11,8,4,2
2011,10,11,38,33,32
2011,11,11,5,9,7
2011,12,11,35,33,33
2011,1,12,4,7,10
2011,2,12,37,39,34
2011,3,12,9,9,3
2011,4,12,40,39,36
2011,5,12,10,4,10
2011,6,12,37,39,34
2011,7,12,7,10,8
2011,8,12,38,32,32
2011,9,12,5,1,7
2011,10,12,35,32,33
2011,11,12,6,10,7
2011,12,12,36,34,33
2011,1,13,1,6,8
2011,2,13,38,40,38
